Postcode,lat,lon
M17 1WS,53.465576,-2.288688
OL6 7SQ,53.486891,-2.097648
M12 4JJ,53.456858,-2.200799
M50 2ST,53.472857,-2.299675
M16 8HZ,53.449677,-2.252412
M30 0DN,53.485558,-2.333461
M21 7SP,53.435325,-2.263721
M22 5AD,53.386682,-2.245303
M43 6DE,53.478959,-2.145635
BL8 2NZ,53.589073,-2.318323
SK9 1DQ,53.322718,-2.222777
M32 9RW,53.454577,-2.325839
SK1 1PN,53.411843,-2.15887
SK5 8HJ,53.4316,-2.136969
SK9 1DE,53.322486,-2.221875
SK9 1DD,53.324282,-2.222575
SK9 1DG,53.321423,-2.222815
SK9 1DF,53.321625,-2.220655
SK9 1DA,53.324397,-2.223567
SK9 7AA,53.298889,-2.236712
SK3 0TQ,53.400776,-2.191436
M21 7NT,53.422555,-2.262092
M16 7NY,53.460434,-2.261784
M19 1NA,53.421209,-2.211179
SK9 3PB,53.348861,-2.205443
SK9 3PA,53.349866,-2.205447
BL1 1UA,53.578587,-2.431895
SK1 3DL,53.406249,-2.154592
M15 4FN,53.472915,-2.246614
M41 5AW,53.448255,-2.355392
SK9 2LN,53.330387,-2.190534
BL7 0AP,53.645395,-2.392747
SK7 1BA,53.357134,-2.168673
M19 3NT,53.442236,-2.188415
M29 8WS,53.516965,-2.448113
WA4 2HX,53.382264,-2.531112
SK8 6AN,53.37233,-2.205917
M22 4NG,53.406273,-2.255584
M22 4NL,53.406303,-2.258563
BL1 4JE,53.586533,-2.451222
SK3 0NW,53.402269,-2.190705
M15 6JA,53.463057,-2.232007
M23 1PX,53.392441,-2.275215
BL1 4JU,53.587271,-2.453375
M15 6JJ,53.463089,-2.238424
M50 3YJ,53.47404,-2.286319
M45 7GT,53.541,-2.306041
OL2 6YD,53.581676,-2.123982
M14 5PT,53.457946,-2.210895
M26 4JY,53.582299,-2.336881
M14 4TS,53.453184,-2.238489
M27 0HD,53.506803,-2.359546
SK1 1YG,53.409702,-2.153853
SK1 1YD,53.410454,-2.155661
M26 3BW,53.5604,-2.334895
M18 7LH,53.457721,-2.158981
M21 9PH,53.444334,-2.27808
OL3 5DE,53.562512,-2.021762
M20 6UQ,53.415181,-2.233657
M20 6UR,53.424894,-2.235516
OL3 5DL,53.567312,-2.023682
SK9 6BY,53.318223,-2.258645
M21 9PG,53.447455,-2.277528
M22 0NT,53.373577,-2.262107
OL3 5DT,53.567842,-2.022943
M20 3FQ,53.43817,-2.230697
WA1 3AW,53.39498,-2.576324
M21 9PW,53.445538,-2.278524
OL3 5RQ,53.558628,-2.030908
M41 9AS,53.447558,-2.344711
SK3 8TE,53.385254,-2.152727
BL4 7NY,53.549788,-2.395045
BL3 1PU,53.56896,-2.370326
M15 4ER,53.469764,-2.26148
M22 5LH,53.369321,-2.251275
SK6 1RJ,53.426162,-2.101211
BL4 7NS,53.549792,-2.394489
BL9 9LN,53.579354,-2.30582
CW8 3HQ,53.263584,-2.586999
M19 3WX,53.441129,-2.189314
SK9 1HY,53.325719,-2.2321
SK1 1TY,53.412278,-2.15675
OL7 0BQ,53.484222,-2.107467
SK6 6AB,53.394934,-2.064955
M20 2ZF,53.419891,-2.259623
OL9 7LG,53.520108,-2.14632
OL2 6DN,53.56532,-2.121322
M19 2QD,53.433994,-2.181952
M21 9BU,53.443452,-2.278526
SK9 1HB,53.326413,-2.231655
SK1 1TA,53.412958,-2.15916
SK9 1HG,53.326579,-2.229794
OL3 6EE,53.552275,-1.998209
M30 8BT,53.488644,-2.360161
M24 6XH,53.569124,-2.188708
M11 4BD,53.482736,-2.193536
OL6 8EZ,53.498956,-2.081998
M25 3NS,53.53444,-2.287119
SK9 3LD,53.358261,-2.216953
SK9 3LN,53.34925,-2.214473
CW8 1LU,53.247517,-2.543691
BL8 1SW,53.600458,-2.319557
SK5 7NZ,53.419941,-2.159367
SK8 4AB,53.392702,-2.232722
SK3 0JE,53.403135,-2.187895
M33 3NH,53.418113,-2.315028
HD7 6BW,53.600701,-1.926825
M19 2TG,53.439687,-2.185469
SK8 4NQ,53.391803,-2.236792
M50 3UB,53.471305,-2.294542
BL7 9AB,53.611082,-2.415508
SK1 3RU,53.407203,-2.159679
SK8 4NF,53.390733,-2.237583
SK3 8BD,53.402267,-2.161301
M41 5SH,53.452091,-2.373841
HX6 4QU,53.648692,-1.949011
M34 3RG,53.455793,-2.124669
M21 9EG,53.438702,-2.280572
M17 1TD,53.474112,-2.337906
M31 4PF,53.418389,-2.433459
M30 8BD,53.491597,-2.361512
M21 9EL,53.438319,-2.279124
BL9 7RG,53.599742,-2.267012
BL3 1BL,53.562642,-2.375917
CW9 7PY,53.270932,-2.463619
SK3 9AL,53.401628,-2.168383
M20 3BW,53.434976,-2.22776
M30 0RY,53.481241,-2.358968
SK9 1AA,53.32796,-2.231137
BL9 6JD,53.601556,-2.275531
CW9 7PJ,53.269549,-2.470141
BL1 1DG,53.579152,-2.427189
BL1 1DF,53.57925,-2.427583
M19 2HR,53.43988,-2.199921
M19 2HQ,53.443553,-2.196461
SK5 6AA,53.437416,-2.158544
M26 1NW,53.558588,-2.32377
SK1 2NA,53.411369,-2.150384
M26 4TW,53.563337,-2.329242
M32 0DF,53.450887,-2.307365
M14 6NQ,53.440952,-2.213957
M15 4EY,53.469839,-2.264418
M14 5FT,53.458061,-2.226543
BL1 8NL,53.597973,-2.432501
BL5 2AR,53.544128,-2.53362
SK9 5LR,53.329624,-2.252272
BL1 4PB,53.57985,-2.454866
SK7 6NA,53.367865,-2.097796
M13 0QX,53.452084,-2.201319
M25 2SA,53.550363,-2.248997
SK2 6NB,53.396421,-2.150662
WA3 6TS,53.428202,-2.502487
SK1 3ER,53.405036,-2.154122
M30 0LS,53.483045,-2.338429
M40 2JL,53.500466,-2.179582
BL6 5DU,53.594353,-2.57991
SK4 2LL,53.416629,-2.16936
M19 1QP,53.415026,-2.215527
OL8 3RG,53.5194,-2.136393
BL1 3BA,53.584885,-2.447428
SK1 1HD,53.410361,-2.157962
SK6 7DB,53.39777,-2.057304
M32 8DN,53.446438,-2.314244
SK1 1HL,53.409875,-2.158818
M22 9TD,53.382146,-2.260386
BL1 2DJ,53.582536,-2.43112
M21 7GJ,53.427964,-2.263059
M33 2AF,53.425517,-2.31591
M33 2AA,53.427269,-2.316314
SK7 1QS,53.34223,-2.163041
SK8 4EY,53.390423,-2.239836
OL1 3NS,53.547378,-2.09243
M14 7DW,53.443711,-2.228559
M19 3AR,53.448019,-2.191513
SK1 2JX,53.41617,-2.142457
BL4 9BB,53.545326,-2.391187
M25 9TJ,53.522636,-2.288261
M15 4RL,53.473316,-2.247805
CW9 7UW,53.246965,-2.482497
WA3 6AE,53.425985,-2.52505
M21 8HA,53.431961,-2.268728
SK7 5LD,53.372376,-2.127355
M30 8HU,53.490451,-2.371721
CW9 7UD,53.247844,-2.483047
CW9 7UG,53.245438,-2.4823
SK9 1BQ,53.328387,-2.228903
M46 9JH,53.525881,-2.487458
OL6 7PE,53.485941,-2.092808
M21 9AQ,53.442939,-2.278508
M21 9AP,53.442819,-2.280178
M21 9AW,53.442746,-2.280659
M19 2UH,53.440938,-2.183771
M19 3HQ,53.445979,-2.178614
OL9 9QP,53.533069,-2.153335
M12 6AL,53.468218,-2.221686
M21 9AN,53.442405,-2.280521
M19 3HH,53.445707,-2.181204
M19 3HF,53.445229,-2.182632
M30 0EJ,53.482659,-2.338336
SK9 1ES,53.322284,-2.224246
SK9 1EP,53.322092,-2.225776
SK6 6BD,53.394388,-2.062037
SK8 3QA,53.370178,-2.232043
SK9 1EW,53.32143,-2.224197
M22 9YB,53.385873,-2.249538
M33 3AA,53.423498,-2.317972
M33 3AB,53.423378,-2.319205
SK9 1EH,53.322875,-2.22509
SK9 4JE,53.348477,-2.246961
WA4 2WA,53.377094,-2.53945
SK9 1EL,53.321328,-2.225502
OL3 7JZ,53.53856,-2.013813
SK6 2AA,53.42362,-2.109436
HD7 5HF,53.621553,-1.880995
SK6 2AN,53.42249,-2.115949
WN7 5LA,53.511573,-2.537312
BL7 9PZ,53.62204,-2.421015
M11 4DQ,53.486382,-2.19684
M41 5DN,53.448764,-2.371237
SK8 5AU,53.374919,-2.188914
M46 0HX,53.528099,-2.490002
CW8 4GX,53.267605,-2.536225
M12 4GD,53.450443,-2.193346
BL3 1HH,53.562266,-2.371957
M21 8AY,53.436814,-2.272762
M21 8AU,53.436109,-2.273992
CW9 7NU,53.267493,-2.471783
BL2 6PP,53.582459,-2.382316
M41 0RY,53.455679,-2.346554
SK4 2PF,53.418316,-2.171307
SK6 1DP,53.416606,-2.102256
M21 8AD,53.44166,-2.276135
M21 8AE,53.441524,-2.276661
OL3 5JT,53.56371,-1.995176
M13 0GW,53.451202,-2.196737
SK9 1HE,53.327298,-2.229422
M22 9PQ,53.381311,-2.264289
SK1 1LA,53.411064,-2.157212
M15 5RF,53.465469,-2.248348
M45 6GE,53.548649,-2.294503
M15 5RL,53.464458,-2.246309
BL1 1LL,53.57737,-2.427805
WA4 2SG,53.372127,-2.538771
BL1 1LD,53.577846,-2.428037
M19 3EF,53.446031,-2.186897
M19 3EX,53.44563,-2.190343
M41 5RY,53.45135,-2.375009
OL9 7BN,53.53098,-2.134077
M14 6YE,53.438837,-2.215421
M35 9AT,53.51714,-2.147772
M20 1HB,53.431463,-2.23623
SK2 6QS,53.399527,-2.159259
SK1 1RJ,53.411174,-2.162222
SK2 6QZ,53.397635,-2.156877
M15 5NN,53.460644,-2.247522
SK1 1RY,53.411948,-2.161067
WN7 4AU,53.497331,-2.522088
BL1 8TH,53.601581,-2.431299
M22 5RN,53.379276,-2.261751
